FA_Value,SHAP_Value
0.8,0.9600993266686176
0.8,0.9757444782763818
0.8,1.0101749201940509
0.8,1.1298865296726477
0.8,1.0100866499212922
0.8,1.129752851647646
0.8,1.0100866499212922
0.8,1.092991480318864
0.8,0.8972813515095763
0.8,1.068039583834875
0.8,1.0920997327703277
0.8,1.0847794867056924
0.8,1.396584027024592
0.8,1.0957385079993485
0.8075,0.7986717260702149
0.8075,0.8870033901274681
0.8075,0.9651142621684502
0.8075,1.1022826216894621
0.8075,0.8284200528758282
0.8075,0.8060052692741289
0.8075,0.6476130881973652
0.8075,1.109377056383956
0.8075,0.9336585084567861
0.8075,0.8060052692741289
0.8075,0.6662609790880855
0.81,0.8683488809928119
0.81,0.7904927460275031
0.81,1.1344350722775134
0.81,1.0717006151259636
0.81,0.9015651252584789
0.83,0.789658791955205
0.83,1.144958377088698
0.83,1.0836115767445518
0.83,1.216893765857182
0.83,1.0054582199807212
0.83,1.122622066184858
0.83,1.2954381243154718
0.83,1.0126112168450188
0.83,1.052832975298116
0.83,1.3923976161928726
0.83,1.3037132847602189
0.83,1.3037132847602189
0.833,1.0251422412413567
0.833,1.0943526206792678
0.833,1.0959893372728524
0.833,1.1562409814188719
0.84,0.9591360768509003
0.84,1.418918102515988
0.84,1.4112149310739788
0.85,1.094544810394997
0.85,1.187518264626219
0.85,0.8291612339353766
0.85,0.9522155292752507
0.85,1.0699403328930535
0.85,1.0699403328930535
0.85,1.0481710312937036
0.85,1.2551801048120226
0.85,1.0739962081264713
0.85,1.187518264626219
0.85,1.132590925008056
0.85,1.1138506785239055
0.85,1.0913627745214334
0.85,1.2650686422972797
0.85,1.5709912057208635
0.85,0.8976661112031018
0.85,1.251590761840919
0.85,1.1026052749891646
0.85,1.1350707386805317
0.85,0.9843471488524888
0.85,1.3608961810660214
0.85,0.993865949428703
0.85,1.377725845862555
0.85,0.948919431135485
0.85,1.26232873470785
0.85,1.2463046405895168
0.85,1.2206906728820945
0.85,1.1999587488136225
0.85,1.5537282820916134
0.855,1.0472487633114542
0.87,1.0708691150867329
0.875,0.9239472999995255
0.88,1.274908864898856
0.88,1.1134698853434215
0.89,1.440189430338908
0.89,1.5608907744278593
0.89,0.9620375676282912
0.9,1.298963316329829
0.9,1.3926447782381604
0.9,0.6747911804573241
0.9,1.3541726919256691
0.9,1.3230387017129626
0.9,0.677790545865658
0.9,1.202403717548219
0.9,1.0009773235563746
0.9,1.2746089171851631
0.9,1.362187253106397
0.9,1.3559662166392297
0.9,1.3559662166392297
0.9,1.3514603121838271
0.9,1.8136791920351345
0.9,1.8113904978900128
0.9,1.225434661752823
0.9,1.1885590438163494
0.9,1.2630503264453774
0.9,1.2331454747632604
0.9,1.3438740738711747
0.9,1.3734599026781567
0.9,1.932278427285222
0.9,1.5700977399076785
0.9,1.439847066322205
0.9,1.2998604001377858
0.9025,1.2997385361281037
0.9025,1.4073733566406232
0.9025,1.3769923691863069
0.9025,1.019985537256991
0.9025,1.177262419521802
0.9025,0.9898711027139279
0.91,1.4178427169916428
0.91,1.3846590409786899
0.91,1.3114030380922563
0.91,1.4795178554497117
0.91,1.3114030380922563
0.917,1.1419830842151322
0.92,1.0350401270213514
0.92,1.2994328004960813
0.92,1.3809408862197123
0.92,1.0932563387685565
0.93,1.5877357227242945
0.93,1.2823344492413002
0.93,1.6697520949949105
0.93,1.2219597693656634
0.93,1.2144881796600524
0.9309999999999999,1.4460852302760765
0.9309999999999999,1.6775591950854274
0.9309999999999999,1.4906416605573196
0.95,1.2050906431701303
0.95,1.298928726274415
0.95,1.4031244170428736
0.95,1.667775049945976
0.95,1.2983323440876886
0.95,1.2654852172004103
0.95,1.0027879050691448
0.95,1.4477992328912836
0.95,1.2979713169129683
0.95,0.9965628991536535
0.95,1.2967550659935543
0.95,1.6584689738484153
0.95,1.3470291417343998
0.95,1.2409098479221776
0.95,1.1750781994671424
0.95,1.3137024359205394
0.95,0.9965628991536535
0.95,1.752595814231703
0.95,1.2262177554960085
0.95,1.347547113282224
0.95,1.3035473412341207
0.95,1.2472746263330294
0.95,1.392314038531663
0.95,1.308918410459401
0.95,1.5016058147707239
0.95,1.5201760042139218
0.95,1.5201760042139218
0.96,1.3708645376953397
0.97,1.111435012375724
0.97,1.6200727514858377
0.97,1.6170572899740419
0.97,1.1397106306791522
0.97,1.0814138437558383
0.97,1.092985199368604
0.97,1.0976614436766885
0.98,1.1309319414664134
1.0,1.1685167612096532
1.0,1.0899199788183929
1.0,1.3991365405773284
1.0,1.3991365405773284
1.0,1.8200061539701384
1.0,1.303342037046837
1.0,1.3030994486201941
1.0,1.2942429707020506
1.0,1.0017113959050687
1.0,1.7318045732831198
