Feature,Original,Encoded
Deposition_Method,spray-coating+Chemical vapor  deposition,15
Antisolvent,0,0
Antisolvent,2-butanol,1
Antisolvent,BA,2
Antisolvent,CB,3
Antisolvent,C₄H₃BrS,4
Antisolvent,Diethyl ether,5
Antisolvent,EA,6
Antisolvent,EA (MASCN),7
Antisolvent,EA/Tol (1:1),8
Antisolvent,Ethyl ether,9
Antisolvent,IPA,10
Antisolvent,SBS,11
Antisolvent,Toluene+CB,12
Antisolvent,anisole,13
Antisolvent,n-BA,14
Antisolvent,n-hexane,15
Antisolvent,toluene,16
Type,0,0
Type,Parallel,1
Type,Series,2
Type,parallel-then-Seriesconnection,3
brand,0,0
brand,AMG,1
brand,Advanced Optowave,2
brand,Advanced Optowave Corporation,3
brand,"CL Technology Co., Ltd",4
brand,DaZe  Optoelectronics,5
brand,EL-MKRF,6
brand,Han's laser,7
brand,Hangzhou Zhongneng Optoelectronic  Technology,8
brand,Helios,9
brand,Hongtuo,10
brand,INNOLAS,11
brand,KT-PZ150,12
brand,Keyence,13
brand,Musashi Engineering,14
brand,Nd:YAG,15
brand,Nd:YVO4,16
brand,Newport,17
brand,OPVtech,18
brand,Photonics Industries,19
brand,Resonetics,20
brand,Rofin Baasel Lasertech,21
brand,SClPRIOS GmbH,22
brand,Saule Technologies,23
brand,Spectra physics,24
brand,Spectronix,25
brand,Suzhou Jieweiman New Energy Technology,26
brand,THG-YAG,27
brand,Talisker Ultra,28
brand,Triumph,29
brand,Trotec,30
brand,UV-O3,31
brand,Universal Laser Systems,32
brand,Wophotonics,33
brand,Wuhan Hongtuo,34
brand,ZNLB-22V1-LW300,35
brand,Zhongneng Photoelectric,36
brand,μ-Lab,37
